Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
122	1	0.32	32	63	28	32	63	28
121	1	0.32	49	54	28	49	54	28
120	1	0.335	30	53	28	30	53	28
119	1	0.32	13	53	28	13	53	28
118	1	0.331	37	48	28	37	48	28
117	1	0.331	48	36	28	48	36	28
116	1	0.32	24	34	28	24	34	28
115	1	0.335	42	29	28	42	29	28
114	1	0.327	64	25	28	64	25	28
113	1	0.32	72	71	27	72	71	27
112	1	0.32	31	38	27	31	38	27
111	1	0.324	39	33	27	39	33	27
110	1	0.324	23	21	27	23	21	27
109	1	0.32	44	95	26	44	95	26
108	1	0.32	58	72	26	58	72	26
107	1	0.345	44	67	26	44	67	26
106	1	0.32	75	46	26	75	46	26
105	1	0.32	49	44	26	49	44	26
104	1	0.324	70	30	26	70	30	26
103	1	0.32	46	87	25	46	87	25
102	1	0.324	10	59	25	10	59	25
101	1	0.331	79	58	25	79	58	25
100	1	0.327	52	58	25	52	58	25
99	1	0.324	21	52	25	21	52	25
98	1	0.32	62	42	25	62	42	25
97	1	0.324	37	34	25	37	34	25
96	1	0.32	68	30	25	68	30	25
95	1	0.32	49	25	25	49	25	25
94	1	0.324	23	21	25	23	21	25
93	1	0.324	48	17	25	48	17	25
92	1	0.327	56	79	24	56	79	24
91	1	0.324	68	72	24	68	72	24
90	1	0.331	27	64	24	27	64	24
89	1	0.327	17	63	24	17	63	24
88	1	0.338	28	61	24	28	61	24
87	1	0.324	49	59	24	49	59	24
86	1	0.327	18	55	24	18	55	24
85	1	0.32	50	39	24	50	39	24
84	1	0.331	66	31	24	66	31	24
83	1	0.32	46	26	24	46	26	24
82	1	0.32	42	92	23	42	92	23
81	1	0.32	50	80	23	50	80	23
80	1	0.324	53	70	23	53	70	23
79	1	0.32	38	61	23	38	61	23
78	1	0.327	71	60	23	71	60	23
77	1	0.327	17	60	23	17	60	23
76	1	0.327	51	58	23	51	58	23
75	1	0.32	30	58	23	30	58	23
74	1	0.327	48	57	23	48	57	23
73	1	0.324	41	57	23	41	57	23
72	1	0.327	22	46	23	22	46	23
71	1	0.327	64	45	23	64	45	23
70	1	0.324	27	28	23	27	28	23
69	1	0.32	38	19	23	38	19	23
68	1	0.324	72	67	22	72	67	22
67	1	0.32	51	67	22	51	67	22
